Filename,ClassId
07183,23
02031,7
03263,3
09567,14
08697,10
12448,15
11147,38
01223,14
01000,17
03576,8
12477,5
05903,11
10187,19
06872,38
09149,1
03375,13
00913,15
10008,33
06936,1
04896,1
06142,38
12203,7
12533,14
07344,9
00214,25
05087,1
01313,10
11480,38
09118,36
00039,8
00128,1
00902,38
01071,2
06514,12
02359,10
03655,3
11916,12
06668,42
07439,30
10696,12
12215,18
06880,2
06198,17
04293,35
00630,5
05399,9
02847,18
02661,15
09305,11
09440,5
09730,5
07226,38
06064,38
09205,10
02006,17
01784,35
12261,17
07244,38
06076,5
00618,10
01592,17
07760,28
07995,23
08544,39
03053,38
04551,25
01247,2
04186,20
01277,17
12439,5
03137,25
00304,0
04916,17
11105,38
12288,2
01353,8
02409,8
07014,35
07276,17
10878,18
09294,4
11044,31
09726,18
07286,28
05274,31
04061,9
10089,11
09995,2
07426,8
12010,13
09107,15
05329,25
06015,5
02186,14
11858,33
11181,9
01972,5
10241,9
01095,39
05743,31
12453,5
06447,17
08574,18
06163,2
05373,1
10308,5
04364,11
08743,17
05114,35
05374,9
09108,25
03711,2
01230,5
12497,38
00389,9
00566,10
12124,1
02880,39
03747,12
06526,12
10968,11
04549,18
01892,1
09747,38
10223,30
03742,25
00044,24
01265,38
07797,18
08968,6
11605,13
05526,11
03202,1
11126,18
05498,26
06699,38
01498,2
00177,40
03596,38
01641,13
12211,28
00414,29
09508,1
06608,10
00033,23
00589,5
11506,1
03928,7
06156,18
09694,9
01216,13
06707,1
07231,22
10531,9
02351,33
01456,38
08318,9
05279,4
05388,14
11495,30
05240,4
09058,9
10097,5
08681,13
08746,24
04740,13
11767,3
08381,8
08228,31
02024,1
06475,4
12372,2
12498,32
05308,2
12225,9
04736,2
11079,26
05644,23
01092,1
06203,14
05635,17
01373,41
11467,2
12359,13
10457,12
09504,38
00486,12
12569,11
03174,35
07030,25
00558,13
03125,7
09518,4
02513,9
12606,38
09867,14
10720,2
01858,10
01030,18
07352,5
05672,4
01455,40
01064,12
06868,31
03938,32
00379,18
04422,5
08658,2
02478,12
05465,34
09689,4
10727,10
01260,2
08301,25
08028,5
02067,12
06363,5
09556,35
09322,18
12255,18
11046,3
04671,25
01148,5
00392,28
09919,10
10628,8
12421,22
08784,42
02913,18
05041,5
01747,1
01143,15
03828,7
07001,8
02930,4
02196,2
12522,26
06502,4
09896,13
04704,1
11846,15
06149,18
05242,38
10467,4
05562,26
02106,7
02434,2
02251,4
09193,38
02113,5
05620,29
02387,25
07228,13
10044,9
02674,12
08917,38
01711,1
10053,28
10686,25
04126,14
06129,3
04554,9
04279,17
03092,33
11218,11
02391,1
07696,12
05393,18
05707,38
10182,38
02545,17
04880,18
06358,14
03690,24
10224,10
02276,25
11012,30
03456,35
08214,9
01885,1
04255,12
08243,7
10684,13
04854,22
11728,35
01191,2
07835,3
11679,36
04674,9
12020,7
09649,3
01072,8
01274,42
01833,16
09804,25
03652,17
10608,8
08145,9
01341,9
04526,12
05492,8
04707,38
10336,5
10161,8
05282,7
09699,11
11666,25
06218,4
03715,33
12297,31
07765,13
06414,31
04275,38
09044,4
03553,32
02735,13
03425,15
05507,18
03866,10
10691,20
04431,10
03160,29
00915,13
07265,12
05291,25
01922,5
04823,2
03429,35
04542,12
02533,1
03763,13
03675,25
06927,5
07739,28
08439,15
06474,35
00562,10
11142,8
12609,5
07877,37
08580,13
10226,1
10570,11
00300,12
01621,7
07087,5
00042,18
03287,8
01250,10
09379,33
00711,36
09220,38
06000,1
12200,27
00875,1
06481,13
02092,9
06942,5
07107,12
05063,36
04695,4
03979,35
06344,10
08244,13
06836,30
10071,4
06489,15
00556,13
04105,9
04342,33
03751,34
00293,35
05915,31
05120,10
00795,42
09492,19
12601,38
11138,7
05964,1
02822,35
00142,6
03086,13
11742,8
04611,33
08069,13
03366,2
09407,22
08625,34
01512,27
12360,2
04315,13
01381,9
11304,1
04097,38
09215,5
11198,18
07909,38
09558,12
08017,2
09561,5
02312,1
03232,11
04472,38
04151,12
00527,2
05501,10
07907,30
03973,36
07491,2
04452,31
11844,9
10777,13
10536,4
05729,5
09041,33
09782,4
07167,42
12104,18
10915,3
07563,25
07912,12
09838,2
02451,35
10085,34
05922,31
11070,1
02245,35
07064,11
03189,7
09007,10
06892,25
03832,41
03679,17
03575,8
07017,4
04042,17
10591,31
02078,38
01461,3
09550,29
09564,2
01426,10
02955,1
03975,40
00513,22
00209,15
06233,38
03270,11
04158,4
10402,10
11400,34
01981,17
07911,18
03974,12
12291,11
08752,9
03293,5
10212,10
08982,2
00198,11
11255,3
12293,31
00427,40
10034,25
12130,25
05294,11
04350,33
04967,7
04195,5
11839,1
03085,10
05341,25
11355,10
12223,19
01675,22
11279,12
04323,8
12286,8
05146,10
12153,15
04384,12
04147,1
05223,26
08801,17
08398,19
08737,15
07348,39
05228,26
02806,10
00816,11
05305,10
08279,35
01952,5
11356,38
00996,25
03387,30
05923,13
02889,10
05509,23
08822,8
03002,1
04855,10
10461,29
07291,5
05453,8
05069,25
03268,12
00559,24
03727,22
06659,25
06147,25
04599,1
02065,26
09114,25
06480,22
02914,9
12383,1
01802,18
12247,2
03258,36
04088,29
08712,38
04330,31
01694,5
08137,3
01329,17
09762,18
08883,4
02591,14
06838,40
00536,38
00265,38
06479,17
07979,2
08022,4
05963,5
00796,15
00438,8
11301,10
10899,13
07264,6
12158,25
02301,1
04894,3
10988,3
01421,10
03854,1
06002,4
04356,13
04521,4
07442,22
05377,15
08068,22
09164,39
02823,12
08206,1
07756,15
00647,7
11370,5
06120,2
00369,13
05784,38
05111,1
09354,15
10379,10
08480,23
07418,10
08053,38
09582,3
07138,13
02867,1
08845,14
12595,25
04009,8
11708,3
04018,2
12276,42
02109,1
01361,5
08350,9
02500,32
05538,1
05505,38
00911,13
02321,3
11926,35
05827,35
10305,8
08929,2
09668,22
02949,17
07991,11
01994,11
04796,25
10363,18
01047,11
03586,18
03377,12
09702,33
00693,13
02103,2
01750,26
04039,5
02437,7
00998,9
07838,2
11298,40
12578,9
12415,1
11827,33
06123,17
05064,11
10992,6
06975,12
01706,40
05834,28
09469,38
03900,1
11885,9
00715,6
05215,1
06826,25
12013,14
07701,7
10849,5
09140,30
03646,1
11872,35
08557,1
01321,9
03944,7
10575,40
04144,35
07248,33
01084,2
02234,5
12352,33
01754,38
03028,12
01407,17
11555,10
02214,4
07345,2
10059,22
06072,11
05813,1
03720,41
12039,39
09587,4
11345,1
03544,2
05621,12
03291,7
05043,27
08259,40
09416,38
10830,5
01843,29
07850,38
10689,12
06631,1
09814,2
08661,2
05225,6
02991,7
09408,29
09045,5
01502,8
08608,2
00577,2
08066,9
00160,13
11133,16
05803,4
07321,38
10961,23
05314,35
00775,4
09819,13
07449,2
11855,38
06795,4
07586,28
04615,33
01057,33
03669,9
06437,31
11429,38
01626,38
08775,4
03516,9
10160,17
02142,12
10095,3
00654,12
02777,18
09803,13
02579,12
09502,11
07487,35
05464,23
08875,38
09280,10
02759,36
03879,7
02116,26
06902,1
06767,8
08698,9
02607,33
10286,9
04828,35
07906,5
09967,3
03020,12
10718,12
09238,2
03164,12
10605,9
03103,40
00747,2
08468,3
08768,15
07451,7
02722,12
03196,28
01394,2
04161,5
10629,3
10493,2
04540,2
11208,5
06760,2
07862,5
00368,19
10038,14
00694,29
00837,9
09163,18
10150,10
05849,4
07937,5
08465,25
00505,4
10074,11
04847,9
09499,4
04639,30
07331,26
08323,6
02430,4
11367,17
09130,13
04575,15
01631,10
00371,18
09627,28
10257,8
10310,4
09543,32
02841,38
01905,38
03825,14
07287,8
03250,18
06951,35
03805,3
02536,9
11075,5
00143,18
04557,25
09006,23
00931,5
02213,10
10568,8
01120,31
12217,25
06057,3
08232,1
03531,4
02738,28
07886,18
02974,18
06985,14
10427,8
05313,30
01758,36
05902,1
05052,8
00553,13
12428,9
05777,10
03962,1
12127,32
09573,4
09563,5
08886,2
02580,1
08004,7
01074,14
09911,1
03978,31
08825,13
07235,18
03617,21
09953,10
11707,14
00491,26
02771,29
07568,23
00152,11
02107,4
06375,36
09709,38
09807,4
11032,13
08193,34
01182,31
10188,24
11239,23
09535,38
11089,18
04702,31
02232,15
02701,35
03159,5
09471,16
11786,35
01058,15
10611,38
03968,40
11669,2
09952,12
01525,18
08913,38
02995,20
11019,11
10904,8
09194,10
06702,20
09588,17
05790,10
08586,14
11911,9
11256,17
02335,1
09616,35
03796,5
04028,7
05640,3
05330,2
06607,5
07764,10
01937,23
09498,15
03307,14
12426,6
11453,19
01903,2
02117,7
09834,19
02207,38
05482,15
07718,9
04130,39
09799,33
06841,2
00269,18
06639,0
05714,5
10687,38
02590,13
12412,11
07099,11
09390,8
02687,3
07039,7
12451,31
05891,7
03093,2
08511,13
12269,9
01522,17
11402,4
01917,16
06424,4
01485,12
00525,13
06897,18
11528,1
11771,0
09441,17
04194,10
01320,38
01085,8
04168,38
07901,4
04370,5
10378,13
08359,1
01348,7
12555,12
03013,3
07301,3
07339,10
11792,8
04357,2
12432,33
08509,13
07572,12
11562,5
11793,9
11551,2
06350,10
08344,33
00091,1
09898,7
04049,35
04876,15
10025,2
12475,40
06891,12
06737,2
06559,4
00178,13
04803,5
10787,28
09138,2
03874,7
01194,7
10607,3
07690,7
07508,18
06661,12
09816,1
09452,25
11074,30
10096,26
05335,31
00797,15
03446,4
10138,10
09513,1
09718,13
06585,10
05513,1
08587,26
04951,40
09436,9
04301,3
10231,5
07450,9
10012,1
05429,13
03420,0
07494,5
06039,1
03614,35
06165,36
03996,10
10864,3
03421,28
03294,31
05571,38
08939,10
00289,13
04140,13
07236,38
11874,25
09818,25
11546,1
01510,5
06681,9
10271,13
07692,25
05742,24
07163,3
06830,12
04133,30
03844,13
08551,12
09868,42
04409,18
00498,31
07889,38
05564,8
07394,1
07989,35
07189,11
05017,17
10716,25
03771,7
00921,25
03428,13
08590,18
03533,12
04487,4
01657,26
02688,7
03061,38
03750,35
05259,38
09279,11
11289,1
11835,4
01658,12
05552,13
04681,10
12348,15
08838,40
07876,18
09420,1
05521,15
04678,6
08077,3
01046,2
02626,7
05256,4
04311,38
02104,2
00437,10
06353,25
04871,12
08019,40
02542,10
10983,23
05363,30
03949,12
03022,28
03622,3
12109,11
02313,1
00679,8
12103,1
10889,9
07445,25
05690,2
09493,42
09555,5
04986,1
05326,4
11632,2
03555,5
12290,31
09955,38
10237,23
00892,33
07758,2
08992,9
01201,5
08975,12
06175,2
07027,24
12594,12
00172,26
02441,11
01935,17
00372,3
01146,9
05601,40
04294,15
08134,4
06157,6
00555,4
09619,11
04134,2
03613,9
07591,35
07271,36
12622,12
06642,11
00200,17
05433,11
03684,33
03564,18
01967,4
07865,10
02007,2
07066,1
08405,5
05615,17
09314,2
10996,17
04846,13
05528,39
09817,38
07849,8
09976,13
01886,18
11411,35
00774,3
12342,18
09708,3
02713,1
07471,38
03332,7
04931,11
03126,38
02286,10
04810,13
00981,7
04196,12
12122,13
00408,5
00642,17
06663,9
12043,1
07393,10
07076,13
12277,13
11185,38
00708,18
01724,12
05910,2
07535,11
09515,4
07629,12
01902,31
11010,13
07731,1
00082,25
05110,38
07497,18
09400,36
09884,12
04801,1
00096,3
10815,5
04550,38
09150,4
01228,30
01406,13
01268,2
10481,25
10352,23
07716,12
05483,7
07962,3
09534,35
09798,2
00713,39
07956,13
05740,5
11775,35
06816,26
07032,4
07961,14
10993,13
00742,35
08946,5
10023,4
00126,10
12512,10
11157,5
10759,25
12334,5
08078,35
06813,6
08685,23
00303,14
08298,1
11215,31
11381,14
09978,9
11867,34
05139,2
02900,13
03124,10
00967,3
02838,6
01564,22
02352,5
04401,15
02810,19
10425,21
06584,15
03916,2
01588,14
08949,25
00515,33
10565,2
08980,36
10367,18
00944,38
07770,9
00605,9
00596,4
00644,2
01636,10
08482,11
03194,24
06452,13
07649,13
00949,22
06277,35
05078,12
00661,13
01239,14
05887,13
07202,2
07259,5
09415,6
01700,6
03918,16
02770,12
00961,15
02087,18
05135,3
11078,7
05611,10
02403,23
07377,5
08223,35
11382,36
06221,5
01327,26
05375,5
02720,17
09301,8
05196,1
08237,16
03247,1
01997,12
11081,1
06540,2
10139,2
06504,24
09846,4
10997,13
04892,40
11068,23
12368,13
